id,tanggal,barang
1,2024-03-01,Telur(1kg)
2,2024-03-01,White Coffe (botol)
3,2024-03-01,Freshcare
3,2024-03-01,Indomie
4,2024-03-01,Golda
5,2024-03-01,Milo(saset)
6,2024-03-01,Kresek
6,2024-03-01,Shampo Lifebuoy
7,2024-03-01,Mixagrip
8,2024-03-01,A1-16
9,2024-03-01,Freshcare
9,2024-03-01,Promag
10,2024-03-01,Sabun zwitsal
11,2024-03-01,HIT
13,2024-03-01,Saos Indofood
14,2024-03-01,Marlboro
15,2024-03-01,A1-16
15,2024-03-01,Golda
16,2024-03-01,Marlboro
16,2024-03-01,Mixagrip
18,2024-03-01,Clevo
18,2024-03-01,Top Coffe +
20,2024-03-01,Aqua(botol)
20,2024-03-01,Kecap bango
21,2024-03-01,Mamy Poko
23,2024-03-01,Shampo Lifebuoy
27,2024-03-01,Marlboro
28,2024-03-01,Promag
28,2024-03-01,Minyak Fortune
29,2024-03-01,Mixagrip
30,2024-03-01,Sabun zwitsal
32,2024-03-01,Indomilk
33,2024-03-01,GoodDay(saset)
33,2024-03-01,Freshcare
34,2024-03-01,Sunlight(saset)
34,2024-03-01,Golda
35,2024-03-01,Shampo Lifebuoy
36,2024-03-01,Mixagrip
37,2024-03-01,SGM+
37,2024-03-01,Gula (2kg)
37,2024-03-01,Marlboro
38,2024-03-01,Milo(saset)
39,2024-03-01,Geo kretek
40,2024-03-01,Cimory(botol)
40,2024-03-01,Ultramilk
41,2024-03-01,Mamy Poko
42,2024-03-01,A1-16
43,2024-03-01,Pocari(kecil)
43,2024-03-01,Mixagrip
44,2024-03-01,Shampo Lifebuoy
44,2024-03-01,Golda
44,2024-03-01,Mixagrip
45,2024-03-01,Kecap bango
46,2024-03-02,Geo kretek
46,2024-03-02,Leminerale
46,2024-03-02,Top Coffe +
47,2024-03-02,Milky
48,2024-03-02,Promag
48,2024-03-02,Minyak Fortune
49,2024-03-02,Golda
50,2024-03-02,3sapi
51,2024-03-02,Pocari(kecil)
52,2024-03-02,Indomilk
52,2024-03-02,Sajiku
53,2024-03-02,Milo(saset)
53,2024-03-02,Aoka
55,2024-03-02,Mamy Poko
55,2024-03-02,White Coffe (botol)
55,2024-03-02,A1-16
58,2024-03-02,Sajiku
59,2024-03-02,Top Coffe +
60,2024-03-02,Freshcare
61,2024-03-02,White Coffe (botol)
64,2024-03-02,Freshcare
65,2024-03-02,HIT
67,2024-03-02,Mixagrip
69,2024-03-02,Promag
69,2024-03-02,A1-16
70,2024-03-02,Yakult
70,2024-03-02,Mamy Poko
73,2024-03-02,3sapi
74,2024-03-02,Yakult
74,2024-03-02,Sajiku
75,2024-03-02,PG Closeup
76,2024-03-02,Tipe x
77,2024-03-02,Sajiku
77,2024-03-02,PG Closeup
78,2024-03-02,Geo kretek
79,2024-03-02,Saos Indofood
79,2024-03-02,Bolpoin
81,2024-03-02,Indomie
81,2024-03-02,Ultramilk
82,2024-03-02,Telur(1kg)
82,2024-03-02,Sabun zwitsal
83,2024-03-02,Sajiku
83,2024-03-02,Freshcare
86,2024-03-02,White Coffe (botol)
89,2024-03-02,Sabun zwitsal
89,2024-03-02,GoodDay(saset)
90,2024-03-02,Mixagrip
90,2024-03-02,Clevo
91,2024-03-02,3sapi
91,2024-03-02,Sajiku
92,2024-03-02,Leminerale
